,REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT,human100km,human50km,human25km
142,1690,2001,Hawaiian Islands,Indo-Pacific,1.9,21.3,-0.44484,-158.04333,21.67167,945215,833179,117687
143,1691,2001,SW Pacific,Indo-Pacific,15.6,16.3,0.38082,177.43011,-18.15928,480990,115364,23319
144,1694,2006,SW Pacific,Indo-Pacific,0.6,25,-0.64717,179.94417,-16.7645,98625,16654,6935
145,1699,2002,GBR,GBR,4.1,3.1,0.35577,145.94787,-16.67148,184081,134077,130
146,1700,2002,GBR,GBR,14.4,18.8,0.22676,145.962,-16.67727,183234,134230,130
147,1701,2002,GBR,GBR,14.4,15,0.37159,145.97,-16.605,177855,114342,25
148,1702,2002,GBR,GBR,36.9,30.9,0.79118,146.07531,-17.20372,198838,114728,2814
149,1708,2002,SE Pacific,Indo-Pacific,1.9,17.5,-0.30001,-174.42136,-19.83783,7342,2949,2567
150,1709,2002,Western Pacific,Indo-Pacific,25.6,59.1,-0.81253,142.18481,26.65417,1766,1388,704
151,1712,2004,Hawaiian Islands,Indo-Pacific,1.3,30,-0.81151,-158.03164,21.6825,945215,833179,112087
152,1713,2004,Hawaiian Islands,Indo-Pacific,0.6,28.1,-0.76785,-158.11128,21.59333,944894,891077,242815
153,1716,2003,GBR,GBR,10,60,-1.56755,148.8785,-20.04617,30296,9612,801
154,1717,2004,Taiwan_Japan,Indo-Pacific,17.8,26.6,0.08319,125.29117,24.92311,55257,53995,53065
155,1718,2003,Taiwan_Japan,Indo-Pacific,20.9,24.7,0.29936,125.27042,24.99842,55257,53995,30480
156,1720,2005,Hawaiian Islands,Indo-Pacific,69.4,0.6,3.45697,-157.79756,21.25653,952139,932841,658061
157,1721,2001,E Indonesia_PNG,Indo-Pacific,25,29.4,0.30523,123.75297,-5.45947,188093,89887,37689
158,1722,2003,E Indonesia_PNG,Indo-Pacific,16.9,20,0.2935,123.75278,-5.46111,188093,89887,37689
159,1723,2003,E Indonesia_PNG,Indo-Pacific,1.9,11.3,-0.05864,123.75639,-5.44278,178933,89887,37689
160,1726,2001,E Indonesia_PNG,Indo-Pacific,11.9,25.6,-0.15375,123.75231,-5.44275,188688,89887,37689
161,1727,2004,South China Sea,Indo-Pacific,9.4,68.1,-1.91009,114.26519,22.53811,32306845,16640260,5281909
162,1728,2004,South China Sea,Indo-Pacific,10,50.6,-1.2055,114.29287,22.16252,22649352,8053248,3785218
163,1729,2004,South China Sea,Indo-Pacific,0.6,32.5,-0.93681,114.29417,22.38508,28988954,13075029,6522497
164,1730,2004,South China Sea,Indo-Pacific,2.5,37.5,-1.04365,114.29536,22.35439,28148076,12165822,6200331
165,1731,2001,South China Sea,Indo-Pacific,13.1,57.5,-1.32724,114.30267,22.551,31585903,16099746,5393561
166,1733,2004,South China Sea,Indo-Pacific,51.9,68.1,0.04509,114.31236,22.53369,31151937,15694061,5018014
167,1734,2004,South China Sea,Indo-Pacific,13.8,47.5,-0.9123,114.33083,22.46639,29694668,14454390,5918077
168,1735,2002,South China Sea,Indo-Pacific,8.1,60,-1.65381,114.327,22.50667,30398296,15128194,5145725
169,1736,2004,South China Sea,Indo-Pacific,0.6,36.9,-1.10577,114.333,22.48033,29870194,14590816,5654063
170,1737,2003,South China Sea,Indo-Pacific,17.5,45.6,-0.66737,114.33589,22.35914,27332867,11990341,5941100
171,1739,2004,South China Sea,Indo-Pacific,0.6,71.9,-2.45745,114.3565,22.50167,29700033,14662674,4872534
172,1740,2004,South China Sea,Indo-Pacific,18.8,17.5,0.47631,114.36547,22.35275,26559801,11685340,5373741
173,1741,2003,South China Sea,Indo-Pacific,0.6,50.6,-1.63679,114.36447,22.33794,26429885,11520669,5166829
174,1742,2004,South China Sea,Indo-Pacific,3.8,18.1,-0.23789,114.38464,22.36964,26643362,11927162,4853320
175,1744,2003,South China Sea,Indo-Pacific,27.5,63.1,-0.88317,114.43106,22.54614,28394904,13938324,3436599
176,1745,2004,South China Sea,Indo-Pacific,13.1,68.8,-1.76171,114.43972,22.54264,28117543,13779617,3437520
177,1746,2004,South China Sea,Indo-Pacific,0.6,51.3,-1.66092,114.27928,22.51444,31606458,15899429,6157474
178,1749,2004,South China Sea,Indo-Pacific,0.6,67.5,-2.28849,114.29583,22.36458,28383384,12599411,6216793
179,1750,2004,South China Sea,Indo-Pacific,4.4,60,-1.82633,114.355,22.325,26132679,11238887,5167023
180,1751,2004,South China Sea,Indo-Pacific,12.5,14.4,0.30947,114.2975,22.35583,28144538,12154348,6200331
181,1754,2002,Philippines_Spra,Indo-Pacific,26.9,58.8,-0.74296,123.96806,10.10692,5637483,3333320,692227
182,1756,2004,Taiwan_Japan,Indo-Pacific,0.6,21.3,-0.50234,123.71531,24.35464,49901,27491,3130
